nct_id,dropout_percentage_all,Clinical Title,Overall Status,Trial Phase,Allocation,Start Date,Completion Date,Primary Purpose,City,State,Zipcode,Gender,Minimum Age,Maximum Age,New Completion Date,New Start Date,length_of_trial
NCT00545844,3.833865815,Singulair(R) In Asthma And Allergic Rhinitis (0476-383),Completed,Phase 4,Non-Randomized,"April 1, 2007","January 1, 2008",Treatment,,,,All,15 Years,,2008-01-01,2007-04-01,275.0
NCT00550173,20.39295393,A Study for Non-Smoker Patients With Nonsquamous Non-Small Cell Lung Cancer,Completed,Phase 2,Randomized,November 2007,January 2012,Treatment,Barretos,Dorset,14784700,All,18 Years,,2012-01-01,2007-11-01,1522.0
NCT00550537,29.31034483,"Proteomic Profiling in Predicting Response in Patients Receiving Erlotinib for Stage IIIB, Stage IV, or Recurrent Non-Small Cell Lung Cancer",Completed,Phase 2,,October 2007,December 2013,Treatment,Gainesville,Florida,32610-0232,All,18 Years,120 Years,2013-12-01,2007-10-01,2253.0
NCT00550550,17.41673711,Efficacy and Safety of Grass Sublingual Tablet in Children and Adolescents (P05239 AM3)(COMPLETED),Completed,Phase 3,Randomized,November 2007,September 2009,Treatment,,,,All,5 Years,17 Years,2009-09-01,2007-11-01,670.0
NCT00551031,0.8298675501,"Study of Inactivated, Split-Virion Influenza Vaccine and Standard Fluzone® Vaccine in Adult and Elderly Subjects",Completed,Phase 2,Randomized,October 2007,November 2008,Prevention,Alabaster,Alabama,,All,18 Years,,2008-11-01,2007-10-01,397.0
NCT00552110,2.840482738,Study of Mometasone Furoate Nasal Spray and Oxymetazoline Nasal Spray Given Together Once A Day To Treat Seasonal Allergic Rhinitis (P04500),Completed,Phase 2,Randomized,July 2007,February 2008,Treatment,,,,All,12 Years,,2008-02-01,2007-07-01,215.0
NCT00553462,12.0,Carboplatin and Paclitaxel Albumin-Stabilized Nanoparticle Formulation Followed by Radiation Therapy and Erlotinib in Treating Patients With Stage III Non-Small Cell Lung Cancer That Cannot Be Removed By Surgery,Completed,Phase 2,,March 2008,"June 15, 2017",Treatment,Castro Valley,California,94546,All,18 Years,,2017-06-01,2008-03-01,3379.0
NCT00554619,4.761904762,A Study to Evaluate GSK1325760A - a Long-Term Extension Study,Completed,Phase 3,Non-Randomized,February 2008,January 2011,Treatment,Aichi,,470-1192,All,,,2011-01-01,2008-02-01,1065.0
NCT00556322,12.99066046,"A Study of Tarceva (Erlotinib) and Standard of Care Chemotherapy in Patients With Advanced, Recurrent, or Metastatic Non-Small Cell Lung Cancer (NSCLC)",Completed,Phase 3,Randomized,March 2006,June 2012,Treatment,St. Leonards,New South Wales,2065,All,18 Years,,2012-06-01,2006-03-01,2284.0
NCT00556712,8.231327643,"A Study of Tarceva (Erlotinib) Following Platinum-Based Chemotherapy in Patients With Advanced, Recurrent, or Metastatic Non-Small Cell Lung Cancer (NSCLC)",Completed,Phase 3,Randomized,January 2006,November 2010,Treatment,St. Leonards,New South Wales,2065,All,18 Years,,2010-11-01,2006-01-01,1765.0
NCT00557466,3.783575672,A Dose Ranging Trial of 4 Doses of Indacaterol Delivered Via the TWISTHALER® Device in Patients With Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 2,Randomized,October 2007,May 2008,Treatment,Buenos Aires,,,All,40 Years,,2008-05-01,2007-10-01,213.0
NCT00558285,7.063655651,Safety and Tolerability of QVA149 (Indacaterol/Glycopyrrolate) Compared to Placebo and to Indacaterol in Patients With Moderate to Severe Stable Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 2,Randomized,November 2007,July 2008,Treatment,Adelaide,,,All,40 Years,,2008-07-01,2007-11-01,243.0
NCT00560066,1.552954697,"Safety of a Influenza Vaccine Produced Either in Mammalian Cell Culture or in Embryonated Hen Eggs in Adults and Elderly With and Without Underlying Medical Conditions, and Immunogenicity in a Subset of Subjects With Underlying Medical Conditions",Completed,Phase 4,Randomized,November 2007,July 2008,Prevention,Balve,,,All,18 Years,,2008-07-01,2007-11-01,243.0
NCT00562159,15.79655712,Efficacy and Safety of Grass Sublingual Tablet in Adults (P05238 AM3)(COMPLETED),Completed,Phase 3,Randomized,November 2007,September 2009,Treatment,,,,All,18 Years,65 Years,2009-09-01,2007-11-01,670.0
NCT00562484,2.064329202,"A Study of the Efficacy, Safety and Tolerability Profile of CSL Limited's Influenza Virus Vaccine (CSL's IVV) Administered Intramuscularly in Healthy Adults",Completed,Phase 4,Randomized,March 2008,January 2010,Prevention,Canberra,Australian Capital Territory,4066,All,18 Years,64 Years,2010-01-01,2008-03-01,671.0
NCT00563381,15.96254109,Tiotropium Once Daily 18 Mcg Versus Salmeterol Twice Daily 50 Mcg on Time to First Exacerbation in COPD Patients.,Completed,Phase 4,Randomized,January 2008,,Treatment,Feldbach,,,All,40 Years,,,2008-01-01,
NCT00564733,8.695652174,FDG-Labeled PET Scan in Planning Chemotherapy in Treating Patients With Stage IIIB or IV Non-Small Cell Lung Cancer,Completed,Phase 2,,October 2007,March 2012,Treatment,Seattle,Washington,98104,All,18 Years,,2012-03-01,2007-10-01,1613.0
NCT00567476,9.075573549,Omalizumab Use and Asthma-Related Quality of Life in Patients With Severe Persistent Allergic Asthma,Completed,Phase 4,Randomized,November 2007,April 2010,Treatment,São Paulo,,,All,12 Years,75 Years,2010-04-01,2007-11-01,882.0
NCT00567996,10.11438847,Efficacy and Safety of Indacaterol in Patients With Chronic Obstructive Pulmonary Disease (COPD) Using Salmeterol as Active Control,Completed,Phase 3,Randomized,November 2007,,Treatment,Edmonton,,,All,40 Years,,,2007-11-01,
NCT00570401,9.523809524,Dasatinib in Treating Patients With Advanced Lung Cancer That Is No Longer Responding to Erlotinib or Gefitinib,Completed,Phase 2,,June 2006,September 2011,Treatment,New York,New York,10065,All,18 Years,120 Years,2011-09-01,2006-06-01,1918.0
NCT00570778,1.470588235,Efficacy and Safety of QVA149 in Patients With Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 2,Randomized,December 2007,September 2008,Treatment,Saint Louis,Missouri,,All,40 Years,,2008-09-01,2007-12-01,275.0
NCT00577655,4.883107089,Albuterol HFA MDI in Pediatric Participants With Asthma,Completed,Phase 3,Randomized,August 2007,July 2008,Treatment,Huntington Beach,California,92647,All,4 Years,11 Years,2008-07-01,2007-08-01,335.0
NCT00578786,31.6101465,A Long Term Study of Ambrisentan in Pulmonary Arterial Hypertension Subjects Having Completed AMB-320 (NCT00423748) or AMB-321 (NCT00423202),Completed,Phase 3,Randomized,February 2004,March 2010,Treatment,Ciudad Autonoma de Buenos Aires,Buenos Aires,C1115AAB,All,18 Years,,2010-03-01,2004-02-01,2220.0
NCT00579345,0.6912258089,"Second Extension Study to Evaluate Safety and Tolerability of Influenza Vaccines in Adults and Elderly, and to Evaluate Immunogenicity and Concomitant Vaccination With Pneumococcal Vaccine in a Subgroup",Completed,Phase 3,Randomized,October 2007,June 2008,Prevention,Krakow,,25-381,All,18 Years,,2008-06-01,2007-10-01,244.0
NCT00581945,10.90336912,Safety and Efficacy of Multiple Doses of Canakinumab (ACZ885) in Chronic Obstructive Pulmonary Disease (COPD) Patients,Completed,Phase 1/Phase 2,Randomized,January 2007,May 2010,Basic Science,Anaheim,California,92801,All,40 Years,80 Years,2010-05-01,2007-01-01,1216.0
NCT00585039,1.754385965,Albuterol Versus Xopenex in Treatment of Acute Asthma in the Emergency Department (ED),Completed,Phase 4,Randomized,September 2005,March 2009,Treatment,Phoenix,Arizona,85016,All,6 Years,17 Years,2009-03-01,2005-09-01,1277.0
NCT00585533,0.0,"A Phase 2 Study of Tarceva for Untreated, Good Prognosis Patients With Advanced Non-Small Cell Lung Cancer",Completed,Phase 2,,June 2004,March 2012,Treatment,Salt Lake City,Utah,84112,All,18 Years,,2012-03-01,2004-06-01,2830.0
NCT00586469,0.1,A Randomized Study to Compare the Safety and Immunogenicity of Fluviral® Made With New Versus Aged Bulk,Completed,Phase 4,Randomized,"December 14, 2007","January 14, 2008",Prevention,Coquitlam,British Columbia,V3K 3P4,All,18 Years,60 Years,2008-01-01,2007-12-01,31.0
NCT00587288,1.886792453,Efficacy and Safety Study of Reslizumab to Treat Poorly Controlled Asthma,Completed,Phase 2,Randomized,April 2008,March 2010,Treatment,Orange,California,92868,All,18 Years,75 Years,2010-03-01,2008-04-01,699.0
NCT00588445,21.53846154,Phase II Trial to Correlate Radiographic Response Induced By Gefitinib With Mutations in the Protein-Tyrosine Kinase Domain of the EGF Receptor Gene,Completed,Phase 2,,June 2004,September 2010,Treatment,New York,New York,10065,All,18 Years,,2010-09-01,2004-06-01,2283.0
NCT00589121,8.860759494,"Image-Guided Radiation Therapy in Treating Patients With Primary Soft Tissue Sarcoma of the Shoulder, Arm, Hip, or Leg",Completed,Phase 2,Non-Randomized,March 2008,"May 21, 2018",Treatment,Newark,Delaware,19713,All,18 Years,,2018-05-01,2008-03-01,3713.0
NCT00590902,0.0,"Ph II OSI-774 (Erlotinib,Tarceva) In Advanced Bronchioloalveolar Cell Lung Cancer",Completed,Phase 2,,March 2002,February 2013,Treatment,New York,New York,10065,All,,,2013-02-01,2002-03-01,3990.0
NCT00591591,14.19386535,Brain Oxygenation and Hemodynamics During Sleep in Obstructive Sleep Apnea Sufferers,Completed,Phase 3,Non-Randomized,August 2007,June 2010,Diagnostic,Orange,California,92868,All,21 Years,55 Years,2010-06-01,2007-08-01,1035.0
NCT00599027,5.923076923,An Exploratory Study of Nasonex in Patients With Moderate to Severe Persistent Allergic Rhinitis and Intermittent Asthma,Completed,Phase 3,Randomized,May 2008,May 2009,Treatment,,,,All,18 Years,75 Years,2009-05-01,2008-05-01,365.0
NCT00600171,2.142075972,Efficacy And Safety Of GW642444M Comparing Placebo In Adolescent And Adult Subjects With Persistent Asthma.,Completed,Phase 2,Randomized,December 2007,September 2008,Treatment,Phoenix,Arizona,85006,All,12 Years,,2008-09-01,2007-12-01,275.0
NCT00600821,10.14367816,A Study Of AG-013736 (Axitinib) Or Bevacizumab (Avastin) In Combination With Paclitaxel And Carboplatin In Patients With Advanced Lung Cancer.,Completed,Phase 2,Randomized,April 2008,October 2012,Treatment,Baton Rouge,Louisiana,70809,All,18 Years,,2012-10-01,2008-04-01,1644.0
NCT00603278,4.20751413,A Randomized Study To Evaluate The Efficacy And Safety Of An Investigational Drug In Adolescent And Adult Subjects With Asthma Uncontrolled on Low-Dose ICS Therapy.,Completed,Phase 2,Randomized,December 2007,November 2008,Treatment,Phoenix,Arizona,85028,All,12 Years,,2008-11-01,2007-12-01,336.0
NCT00603382,4.148555927,A Randomized Study To Evaluate The Efficacy And Safety Of An Investigational Drug In Adolescent And Adult Subjects With Asthma Uncontrolled on Non-steroidal Therapy.,Completed,Phase 2,Randomized,"December 1, 2007","October 2, 2008",Treatment,Phoenix,Arizona,85028,All,12 Years,,2008-10-01,2007-12-01,305.0
NCT00603746,3.716618084,A Randomized Study To Evaluate The Efficacy And Safety Of An Investigational Drug In Adolescent And Adult Subjects With Asthma Uncontrolled on Moderate-Dose ICS Therapy.,Completed,Phase 2,Randomized,"December 1, 2007","September 20, 2008",Treatment,Phoenix,Arizona,85028,All,12 Years,,2008-09-01,2007-12-01,275.0
NCT00604500,3.308823529,A Patient Handling Study of Mometasone Furoate/Formortoral Fumarate (MF/F) Metered Dose Inhaler (MDI) With an Integrated Dose Counter in Adolescent and Adult Subjects With Asthma or Chronic Obstructive Pulmonary Disease (Study P04703AM1),Completed,Phase 3,,"March 1, 2008","November 1, 2008",Treatment,,,,All,12 Years,,2008-11-01,2008-03-01,245.0
NCT00606021,12.63227513,"A Study Comparing of Two Different Chemotherapy Regimens, in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer",Completed,Phase 2,Randomized,January 2008,December 2010,Treatment,Assiut,,0000,All,18 Years,,2010-12-01,2008-01-01,1065.0
NCT00606502,1.5,Study of Pralatrexate vs. Erlotinib for Non-Small Cell Lung Cancer After at Least 1 Prior Platinum-based Treatment,Completed,Phase 2,Randomized,January 2008,"June 24, 2010",Treatment,Bakersfield,California,93309,All,18 Years,,2010-06-01,2008-01-01,882.0
NCT00606684,8.910891089,A Study To Assess Efficacy And Safety Of Different Doses Of GW642444 In Subjects With Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 2,Randomized,February 2008,October 2008,Treatment,Florence,Alabama,35630,All,40 Years,80 Years,2008-10-01,2008-02-01,243.0
NCT00608868,9.420289855,SELINE: Second-Line Iressa Phase IV Study in NSCLC Patients,Completed,Phase 4,Non-Randomized,January 2007,January 2009,Treatment,Daegu,,,All,19 Years,80 Years,2009-01-01,2007-01-01,731.0
NCT00609518,13.64522417,A Study for Patients With Non-Squamous Non-Small Cell Lung Cancer,Completed,Phase 2,Randomized,February 2008,June 2010,Treatment,Bankstown,New South Wales,2200,All,18 Years,,2010-06-01,2008-02-01,851.0
NCT00609674,4.445564516,A Clinical Study To Test A Nasal Spray (Fluticasone Furoate Nasal Spray) For The Treatment Of Perennial (Year-round) Allergic Rhinitis,Completed,Phase 4,Randomized,January 2008,June 2008,Treatment,Baltimore,Maryland,21236,All,12 Years,,2008-06-01,2008-01-01,152.0
NCT00613626,0.0,Cisplatin + Etoposide +/- Concurrent ZD6474 in Previously Untreated Extensive Stage Small Cell Lung Cancer,Completed,Phase 2,Randomized,January 2008,August 2015,Treatment,Newark,Delaware,19713,All,18 Years,,2015-08-01,2008-01-01,2769.0
NCT00615459,1.497005988,"A Crossover Study to Determine the Effect on Lung Function of Indacaterol in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD), Using Tiotropium as an Active Control",Completed,Phase 3,Randomized,February 2008,December 2008,Treatment,Camperdown,,,All,40 Years,,2008-12-01,2008-02-01,304.0
NCT00616928,2.110521781,Immunogenicity & Safety of GSK's Influenza Vaccine 1557484A Given to Adults Aged ≥18 Years,Completed,Phase 3,Randomized,"January 23, 2008","March 19, 2009",Prevention,Huntsville,Alabama,35802,All,18 Years,,2009-03-01,2008-01-01,425.0
NCT00617305,18.18181818,Study of Add-on Ambrisentan Therapy to Background Phosphodiesterase Type-5 Inhibitor (PDE5i) Therapy in Pulmonary Arterial Hypertension (ATHENA-1),Completed,Phase 4,Randomized,April 2008,July 2011,Treatment,Mobile,Alabama,36617,All,16 Years,75 Years,2011-07-01,2008-04-01,1186.0
NCT00617851,11.05990783,Study to Evaluate the Consistency of Three Consecutive Production Lots of Influenza Vaccine in Healthy Subjects 18 to 49 Years Old,Completed,Phase 3,Randomized,November 2007,June 2008,Prevention,Santo Domingo,,,All,18 Years,49 Years,2008-06-01,2007-11-01,213.0
NCT00619502,7.109181141,Study of Immunogenicity and Safety of a Booster Dose of DTaP-IPV-HB-PRP~T Combined Vaccine in Healthy Turkish Infants,Completed,Phase 3,Non-Randomized,December 2007,July 2008,Prevention,Ankara,,,All,15 Months,18 Months,2008-07-01,2007-12-01,213.0
NCT00619801,1.286054118,Safety Study of Levocetirizine Dihydrochloride Oral Liquid Formulation in Children Aged 1 to Less Than 6 Years Suffering From Allergic Rhinitis or Chronic Urticaria of Unknown Origin,Completed,Phase 3,Randomized,March 2008,July 2008,Treatment,Birmingham,Alabama,,All,2 Years,6 Years,2008-07-01,2008-03-01,122.0
NCT00620022,8.426966292,The Effect of Indacaterol on Exercise Endurance in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease,Completed,Phase 3,Randomized,April 2008,January 2009,Treatment,Torrance,California,,All,40 Years,,2009-01-01,2008-04-01,275.0
NCT00620815,3.648785801,Safety and Immunogenicity of Two Doses of a Tetravalent Influenza Vaccine in Adults Aged 18 Years and Above,Completed,Phase 2,Randomized,November 2007,December 2008,Prevention,Holzkirchen,,83607,All,18 Years,,2008-12-01,2007-11-01,396.0
NCT00621504,6.271720066,Comparative Study of Ceftaroline vs. Ceftriaxone in Adult Subjects With Community-Acquired Pneumonia,Completed,Phase 3,Randomized,January 2008,June 2009,Treatment,Los Angeles,California,90015,All,18 Years,,2009-06-01,2008-01-01,517.0
NCT00621959,2.345852807,A Study Evaluating the Efficacy and Impact on Health-related Quality of Life of Levocetirizine in Adults With Seasonal Allergic Rhinitis,Completed,Phase 4,Randomized,March 2008,June 2008,Treatment,Scottsdale,Arizona,,All,18 Years,65 Years,2008-06-01,2008-03-01,92.0
NCT00624286,6.467460409,Efficacy and Safety of Indacaterol in Patients With Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 3,Randomized,February 2008,July 2008,Treatment,Anniston,Alabama,36207-5710,All,40 Years,,2008-07-01,2008-02-01,151.0
NCT00626028,2.205882353,Comparison of Inhaled Nitric Oxide and Oxygen in Participants Reactivity During Acute Pulmonary Vasodilator Testing,Completed,Phase 3,Randomized,September 2004,February 2010,Diagnostic,Stanford,California,94304,All,4 Weeks,18 Years,2010-02-01,2004-09-01,1979.0
NCT00626522,5.173402582,Aclidinium/Formoterol Fixed Combination Dose Finding Study,Completed,Phase 2,Randomized,February 2008,November 2008,Treatment,Taichung,,,All,40 Years,80 Years,2008-11-01,2008-02-01,274.0
NCT00628108,5.416666667,Safety Study of Levocetirizine Dihydrochloride Oral Liquid Formulation in Children Aged 6 Months to 11 Months,Completed,Phase 3,Randomized,March 2008,September 2008,Treatment,Birmingham,Alabama,,All,6 Months,11 Months,2008-09-01,2008-03-01,184.0
NCT00628758,18.61915175,A Comparison of Symbicort® Single Inhaler Therapy and Conventional Best Practice for the Treatment of Persistent Asthma,Completed,Phase 3,Randomized,December 2005,September 2008,Treatment,Ankara,,,All,18 Years,,2008-09-01,2005-12-01,1005.0
NCT00628862,8.15314749,"Evaluation of Efficacy and Safety of Formoterol in Patients With COPD Compared With Placebo in Patients in Japan, EU",Completed,Phase 3,Randomized,December 2007,April 2009,Treatment,Gabrovo,Aichi,,All,40 Years,,2009-04-01,2007-12-01,487.0
NCT00629239,16.85606061,Tolerability/Safety and Efficacy of Inhaled AZD4818 in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 2,Randomized,January 2008,August 2008,Treatment,Hvidovre,,,All,40 Years,,2008-08-01,2008-01-01,213.0
NCT00630331,4.870866646,Efficacy Study of Two Influenza Vaccines and Placebo in Healthy Adult Subjects,Completed,Phase 3,Randomized,October 2007,July 2008,Prevention,Denver,Colorado,80212,All,18 Years,49 Years,2008-07-01,2007-10-01,274.0
NCT00631475,21.09375,Open Label Extension Study in Patients With Idiopathic Pulmonary Fibrosis Who Completed Protocol AC-052-321/ BUILD 3 / NCT00391443,Completed,Phase 3,Non-Randomized,April 2008,May 2010,Treatment,Birmingham,Alabama,35294,All,18 Years,,2010-05-01,2008-04-01,760.0
NCT00632502,13.63636364,"Neutrophilic Asthma Study With Navarixin (MK-7123, SCH 527123) (MK-7123-017)(COMPLETED)",Completed,Phase 2,Randomized,"May 1, 2008","February 1, 2009",Treatment,,,,All,18 Years,70 Years,2009-02-01,2008-05-01,276.0
NCT00633074,0.1388888889,Non-inferiority Study of GSK Biologicals' Influenza Vaccine GSK576389A Using Different Formulations,Completed,Phase 2,Randomized,"March 3, 2008","April 11, 2008",Prevention,Saku,,75501,All,65 Years,,2008-04-01,2008-03-01,31.0
NCT00633217,13.70523416,Advair HFA For Chronic Obstructive Pulmonary Disease(COPD),Completed,Phase 4,Randomized,March 2008,February 2009,Treatment,Jasper,Alabama,35501,All,40 Years,,2009-02-01,2008-03-01,337.0
NCT00633893,16.2820363,Efficacy and Safety Study of Apixaban for Extended Treatment of Deep Vein Thrombosis or Pulmonary Embolism,Completed,Phase 3,Randomized,May 2008,August 2012,Treatment,Birmingham,Alabama,35235,All,18 Years,,2012-08-01,2008-05-01,1553.0
NCT00640926,11.99806483,Safety and Efficacy Study of Oxazolidinone to Treat Pneumonia,Completed,Phase 2,Randomized,October 2007,April 2009,Treatment,San Diego,California,,All,18 Years,65 Years,2009-04-01,2007-10-01,548.0
NCT00642759,2.777777778,"Carboplatin, Abraxane, and Bevacizumab in Previously Untreated Patients With Advanced Non-Small Cell Lung Cancer",Completed,Phase 2,,April 2008,April 2015,Treatment,Boston,Massachusetts,02114,All,18 Years,,2015-04-01,2008-04-01,2556.0
NCT00643201,14.99380056,Efficacy and Safety Study of Apixaban for the Treatment of Deep Vein Thrombosis or Pulmonary Embolism,Completed,Phase 3,Randomized,July 2008,March 2013,Treatment,Birmingham,Alabama,35235,All,18 Years,,2013-03-01,2008-07-01,1704.0
NCT00645411,5.83433123,Pediatric Safety and Immunogenicity Study of Cell-Culture Derived and Egg-based Subunit Influenza Vaccines in Healthy Children and Adolescents,Completed,Phase 2/Phase 3,Randomized,October 2007,July 2008,Prevention,Fayetteville,Arkansas,72703,All,3 Years,17 Years,2008-07-01,2007-10-01,274.0
NCT00645788,11.10244594,Study to Evaluate the Safety and Efficacy of Ciprofloxacin (Inhaled) in Patients With Cystic Fibrosis,Completed,Phase 2,Randomized,May 2008,January 2011,Treatment,Phoenix,Arizona,85016,All,12 Years,,2011-01-01,2008-05-01,975.0
NCT00650091,12.1333869,"Evaluating the Effectiveness of Prednisone, Azathioprine, and N-acetylcysteine in Patients With IPF",Completed,Phase 3,Randomized,October 2009,January 2014,Treatment,Birmingham,Alabama,35294,All,35 Years,85 Years,2014-01-01,2009-10-01,1553.0
NCT00651118,4.087815868,A Study to Evaluate the Safety and Effectiveness of a Nasal Spray to Treat Seasonal Allergies,Completed,Phase 3,Randomized,March 2008,July 2008,Treatment,Scottsdale,Arizona,85251,All,12 Years,,2008-07-01,2008-03-01,122.0
NCT00652340,0.0,APRiCOT-L: Study to Evaluate Efficacy and Safety of Apricoxib With Erlotinib in Patients With Non-small Cell Lung Cancer,Completed,Phase 2,Randomized,April 2008,March 2012,Treatment,Tucson,Arizona,,All,18 Years,,2012-03-01,2008-04-01,1430.0
NCT00652743,5.304420302,Immunogenicity of GSK Biologicals' Pandemic Influenza Vaccine (GSK1562902A) at Different Boosting Vaccination Schedules,Completed,Phase 3,Randomized,"March 23, 2008","June 8, 2011",Prevention,Hong Kong,,308433,All,19 Years,61 Years,2011-06-01,2008-03-01,1187.0
NCT00653224,1.72432246,A Study Evaluating the Efficacy and Impact on Health-related Quality of Life of Levocetirizine in Adults With Seasonal Allergic Rhinitis,Completed,Phase 4,Randomized,April 2008,July 2008,Treatment,Tucson,Arizona,,All,18 Years,65 Years,2008-07-01,2008-04-01,91.0
NCT00653939,29.6996663,"A Safety and Efficacy Study of Carboplatin, Paclitaxel, Bevacizumab and CA4P in Non-Small Cell Lung Cancer",Completed,Phase 2,Randomized,March 2008,October 2011,Treatment,Campbell,California,95008,All,18 Years,,2011-10-01,2008-03-01,1309.0
NCT00654420,17.38975818,A Study Evaluating Dalotuzumab (MK-0646) in Combination With Erlotinib for Participants With Non-Small Cell Lung Cancer (MK-0646-007),Completed,Phase 2,Randomized,"March 19, 2008","February 13, 2012",Treatment,,,,All,18 Years,,2012-02-01,2008-03-01,1432.0
NCT00654901,0.5921134858,Study of the DTaP-IPV-Hep B-PRP~T Combined Vaccine Following a Primary Series of DTacP IPV-HepB-PRP-T or Infanrix Hexa™,Completed,Phase 3,Randomized,March 2008,July 2009,Prevention,Estado de Mexico,,,All,15 Months,18 Months,2009-07-01,2008-03-01,487.0
NCT00655850,2.564102564,Lower Dose Chemotherapy Given More Frequent With Avastin to Treat Advanced Non-Squamous Non-Small Cell Lung Cancer,Completed,Phase 2,,March 2008,September 2016,Treatment,Birmingham,Alabama,35294 - 0104,All,19 Years,,2016-09-01,2008-03-01,3106.0
NCT00656136,13.33333333,BIBW 2992 and BSC Versus Placebo and BSC in Non-small Cell Lung Cancer Patients Failing Erlotinib or Gefitinib (LUX-LUNG 1),Completed,Phase 3,Randomized,April 2008,October 2013,Treatment,Kingman,Arizona,,All,18 Years,,2013-10-01,2008-04-01,2009.0
NCT00659529,25.92592593,Safety and Efficacy of Sildenafil in Cystic Fibrosis (CF) Lung Disease,Completed,Phase 1/Phase 2,,August 2008,December 2012,Treatment,Denver,Colorado,80206,All,14 Years,,2012-12-01,2008-08-01,1583.0
NCT00660179,4.030853994,Study of Macitentan (ACT-064992) on Morbidity and Mortality in Patients With Symptomatic Pulmonary Arterial Hypertension,Completed,Phase 3,Randomized,May 2008,April 2012,Treatment,Birmingham,Alabama,35249-0001,All,12 Years,,2012-04-01,2008-05-01,1431.0
NCT00660816,13.06818182,Pemetrexed or Docetaxel With or Without Erlotinib in Stage IIIB or Stage IV Non-Small Cell Lung Cancer,Completed,Phase 2,Randomized,January 2008,July 2015,Treatment,Detroit,Michigan,48202,All,18 Years,,2015-07-01,2008-01-01,2738.0
NCT00660829,6.015037594,A Study to Evaluate the Safety and Effectiveness of a Nasal Spray to Treat Seasonal Allergies,Completed,Phase 3,Randomized,December 2007,April 2008,Treatment,Austin,Texas,78731,All,12 Years,,2008-04-01,2007-12-01,122.0
NCT00661193,12.93706294,S0709: Erlotinib With or Without Carboplatin and Paclitaxel in Stage IIIB or Stage IV Non-Small Cell Lung Cancer,Completed,Phase 2,Randomized,December 2008,December 2016,Treatment,Little Rock,Arkansas,72205,All,18 Years,120 Years,2016-12-01,2008-12-01,2922.0
NCT00661778,54.0,A Study of Avastin (Bevacizumab) in Combination With Docetaxel and Cisplatin in Patients With Metastatic or Locally Advanced Non-small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,July 2007,July 2011,Treatment,Cádiz,Cadiz,11009,All,18 Years,,2011-07-01,2007-07-01,1461.0
NCT00662038,44.13988658,Open-Label Study of the Long Term Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Completed,Phase 3,,August 2008,February 2016,Treatment,South San Francisco,California,94080-4990,All,40 Years,84 Years,2016-02-01,2008-08-01,2740.0
NCT00666679,5.993761141,Study of Inhaled Corticosteroid Plus Montelukast Compared With Inhaled Corticosteroid Therapy Alone in Patients With Chronic Asthma (0476-386),Completed,Phase 2,Randomized,May 2008,February 2009,Treatment,,,,All,15 Years,85 Years,2009-02-01,2008-05-01,276.0
NCT00669331,20.60274076,Inhaled Mannitol as a Mucoactive Therapy for Bronchiectasis,Completed,Phase 3,Randomized,November 2009,January 2014,Treatment,Denver,Colorado,80206,All,18 Years,85 Years,2014-01-01,2009-11-01,1522.0
NCT00669617,0.4494382022,Study to Determine the Onset of Action of Indacaterol in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 3,Randomized,April 2008,August 2008,Treatment,Tamarac,Florida,33321,All,40 Years,,2008-08-01,2008-04-01,122.0
NCT00670007,5.714285714,Extension Study of Zemaira® i.v. Administration in Subjects With Emphysema Due to alpha1-proteinase Inhibitor Deficiency.,Completed,Phase 4,,April 2008,September 2014,Treatment,Adelaide,South Australia,5000,All,18 Years,,2014-09-01,2008-04-01,2344.0
NCT00670930,4.347826087,"Efficacy of Omalizumab in Adults (18-60 Years of Age) With Moderate-Severe, Persistent Allergic Asthma, Despite Receiving Inhaled Corticosteroids and Long Acting Beta-agonists",Completed,Phase 4,Randomized,April 2008,November 2011,Treatment,Denver,Colorado,80206,All,18 Years,75 Years,2011-11-01,2008-04-01,1309.0
NCT00674700,24.21369475,Safety and Efficacy Study of Sublingual Immunotherapy (SLIT) to Treat House Dust Mite Allergic Rhinitis,Completed,Phase 2/Phase 3,Randomized,October 2007,February 2010,Treatment,,,,All,18 Years,50 Years,2010-02-01,2007-10-01,854.0
NCT00676052,4.51419033,Dose-Ranging Study Of GSK233705B In Subjects With Chronic Obstructive Pulmonary Disease (COPD),Completed,Phase 2,Randomized,"May 16, 2008","December 22, 2008",Treatment,Jasper,Alabama,35501,All,40 Years,80 Years,2008-12-01,2008-05-01,214.0
